price,accommodates,neighbourhood,bedrooms,beds,bathrooms,review_scores_rating,property_type,room_type,last_scraped
59.0,2,Harlem,1.0,2.0,1.0,92.0,Apartment,Private room,2018-03-04
39.0,4,Kensington,2.0,3.0,1.0,97.0,Apartment,Private room,2018-03-04
225.0,2,Midtown,0.0,1.0,1.0,97.0,Apartment,Entire home/apt,2018-03-04
70.0,2,Williamsburg,1.0,1.0,1.0,97.0,Apartment,Private room,2018-03-04
150.0,2,Harlem,1.0,1.0,1.0,,Apartment,Private room,2018-03-04
89.0,3,Clinton Hill,1.0,3.0,1.0,90.0,Other,Entire home/apt,2018-03-04
150.0,3,Hell's Kitchen,1.0,2.0,1.0,88.0,Apartment,Entire home/apt,2018-03-04
150.0,2,Hell's Kitchen,1.0,2.0,1.0,93.0,Apartment,Entire home/apt,2018-03-06
60.0,2,Bedford-Stuyvesant,1.0,1.0,,90.0,Apartment,Private room,2018-03-04
253.0,4,Greenwood Heights,3.0,2.0,1.5,97.0,Apartment,Entire home/apt,2018-03-05
129.0,2,Murray Hill,1.0,1.0,1.0,93.0,Apartment,Entire home/apt,2018-03-04
79.0,2,Hell's Kitchen,1.0,1.0,1.0,84.0,Apartment,Private room,2018-03-04
79.0,1,Upper West Side,1.0,1.0,1.0,98.0,Apartment,Private room,2018-03-06
120.0,3,Lower East Side,1.0,2.0,1.0,93.0,Apartment,Entire home/apt,2018-03-04
135.0,2,Upper West Side,1.0,1.0,1.0,94.0,Apartment,Entire home/apt,2018-03-04
145.0,2,Upper West Side,1.0,1.0,1.0,91.0,Apartment,Entire home/apt,2018-03-04
126.0,2,Hell's Kitchen,1.0,1.0,1.0,97.0,Apartment,Private room,2018-03-04
82.0,2,Park Slope,1.0,1.0,,93.0,House,Private room,2018-03-04
110.0,2,Upper West Side,1.0,1.0,1.0,92.0,Apartment,Private room,2018-03-04
175.0,1,West Village,1.0,1.0,1.0,96.0,Apartment,Entire home/apt,2018-03-05
140.0,3,Williamsburg,,1.0,1.0,90.0,Apartment,Entire home/apt,2018-03-04
95.0,1,East Harlem,1.0,1.0,1.0,97.0,Apartment,Private room,2018-03-05
215.0,4,Fort Greene,1.0,2.0,1.0,96.0,House,Entire home/apt,2018-03-04
144.0,2,West Village,,1.0,,92.0,Apartment,Entire home/apt,2018-03-05
120.0,3,Chelsea,1.0,1.0,1.0,96.0,Apartment,Private room,2018-03-05
299.0,4,Williamsburg,,2.0,1.0,98.0,Loft,Entire home/apt,2018-03-04
225.0,4,Upper West Side,1.0,2.0,1.0,95.0,Apartment,Entire home/apt,2018-03-05
130.0,4,Park Slope,1.0,2.0,3.0,93.0,Townhouse,Private room,2018-03-04
110.0,2,Park Slope,1.0,2.0,1.0,94.0,House,Private room,2018-03-04
110.0,3,Park Slope,1.0,2.0,1.0,90.0,House,Private room,2018-03-04
49.0,3,Harlem,1.0,2.0,1.0,91.0,Apartment,Private room,2018-03-04
350.0,6,Alphabet City,3.0,4.0,1.5,96.0,Apartment,Entire home/apt,2018-03-05
120.0,5,Bedford-Stuyvesant,1.0,4.0,1.0,95.0,Apartment,Entire home/apt,2018-03-05
135.0,2,Alphabet City,0.0,1.0,1.0,94.0,Apartment,Entire home/apt,2018-03-04
150.0,2,Hell's Kitchen,,1.0,1.0,90.0,Apartment,Entire home/apt,2018-03-04
44.0,2,Inwood,1.0,1.0,1.0,85.0,Apartment,Private room,2018-03-04
180.0,3,East Village,1.0,1.0,1.0,93.0,Apartment,Entire home/apt,2018-03-04
50.0,2,Hamilton Heights,1.0,1.0,1.0,87.0,Apartment,Private room,2018-03-04
52.0,2,Harlem,1.0,1.0,1.5,98.0,Apartment,Private room,2018-03-05
55.0,2,Williamsburg,1.0,1.0,1.5,80.0,Apartment,Private room,2018-03-04
50.0,2,Hamilton Heights,1.0,2.0,,89.0,Apartment,Private room,2018-03-04
60.0,3,Bedford-Stuyvesant,1.0,2.0,,94.0,House,Private room,2018-03-04
82.0,2,Park Slope,1.0,2.0,1.0,94.0,House,Private room,2018-03-04
85.0,2,Bushwick,1.0,1.0,1.0,86.0,Apartment,Entire home/apt,2018-03-04
140.0,4,Bedford-Stuyvesant,2.0,2.0,1.0,90.0,Apartment,Entire home/apt,2018-03-04
150.0,1,Flatbush,1.0,2.0,1.0,,House,Private room,2018-03-04
35.0,1,Lower East Side,1.0,1.0,1.0,95.0,Apartment,Shared room,2018-03-04
65.0,2,Alphabet City,1.0,1.0,1.0,86.0,Apartment,Private room,2018-03-05
120.0,2,Park Slope,1.0,1.0,1.0,100.0,Apartment,Entire home/apt,2018-03-04
120.0,2,Brooklyn Navy Yard,1.0,1.0,2.0,100.0,Apartment,Private room,2018-03-04
135.0,2,Upper West Side,1.0,1.0,2.0,94.0,Apartment,Private room,2018-03-04
108.0,5,Crown Heights,2.0,4.0,1.0,89.0,Apartment,Entire home/apt,2018-03-04
380.0,6,Clinton Hill,3.0,4.0,2.5,99.0,House,Entire home/apt,2018-03-04
150.0,2,Lefferts Garden,1.0,1.0,1.0,100.0,Apartment,Entire home/apt,2018-03-04
130.0,4,Long Island City,1.0,2.0,1.0,98.0,Townhouse,Private room,2018-03-05
110.0,3,Bedford-Stuyvesant,2.0,3.0,1.0,86.0,Apartment,Entire home/apt,2018-03-04
115.0,5,Bedford-Stuyvesant,2.0,2.0,1.0,94.0,House,Entire home/apt,2018-03-05
110.0,1,Prospect Heights,1.0,1.0,1.0,88.0,Apartment,Entire home/apt,2018-03-05
68.0,4,Jamaica,1.0,2.0,1.0,84.0,House,Private room,2018-03-05
